id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,image filename or link
b959afa1-7d9a-4624-8e74-2791567e5b9d,38.70255143,-9.20273445,Portugal,Lisbon,CR,LFINF,CDN,2,MIX(RES;COM),BP2,RSH2,RMT1,,
e2bc2e14-d0f8-47ad-ac2f-063add1d5c70,38.69990972,-9.208585384,,,,,,,,,,,,
69db4081-7896-42bc-96f5-0a5460258775,38.71297095,-9.190931,,,,,,,,,,,,
e32f23f7-4811-40b1-9be7-0977e5faa3e3,38.71717435,-9.211697044,,,,,,,,,,,,
ebc221c1-5577-4e14-9e9a-0abee2351b43,38.7023074,-9.20489655,Portugal,Lisbon,MUR,LWAL,CDN,1,RES,BP2,RSH1,RMN,,
98a4eb7d-a00a-43ac-8cc9-5282a52fb8a4,38.70741432,-9.210874485,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP1,RSH2,RMT1,,
caaff78f-ad77-496d-966b-0759daa9d610,38.69866011,-9.21458807,,,,,,,,,,,,
272626f9-6279-489e-9b27-b851c9d1a795,38.70320249,-9.181453466,Portugal,Lisbon,MUR,LWAL,CDN,4,RES,BP2,RSH1,RMN,,
c3a65785-5396-44cd-9c45-2cdb83501d01,38.70301091,-9.196072366,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP1,RSH2,RMT1,,
9232f193-3725-49e9-b476-2a606ab04f6a,38.70229367,-9.19712684,Portugal,Lisbon,CR,LFINF,CDL,4,RES,BP2,RSH1,RMN,,
ba4fbbc8-f2a5-4dc2-b205-d0299eb4b14a,38.71289269,-9.211300779,,,,,,,,,,,,
14a97287-da20-4935-9b6d-38077369a4f8,38.70211787,-9.199838131,Portugal,Lisbon,MUR,LWAL,CDN,3,RES,BP1,RSH1,RMN,,
a4f4682f-9296-429f-8ba8-4474d6e4b2a4,38.70841439,-9.21236815,Portugal,Lisbon,S,LFM,CDH,1,COM,BPD,RSH1,RMN,,
46c35cec-2579-4e59-9d19-23495cbb8849,38.7040611,-9.196018138,Portugal,Lisbon,MUR,LWAL,CDL,4,COM,BP1,RSH2,RMT1,,
9752c5a3-2825-4cf1-aa1f-4a10af0824f3,38.70579824,-9.179556546,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP2,RSH2,RMT1,,
e924f66b-821a-4785-88cb-1c317bee5641,38.69999947,-9.192649999,Portugal,Lisbon,CR,LFM,CDL,4,RES,BP2,RSH1,RMN,,
85ddf4cb-44b7-47db-87db-1825774a0e03,38.69978305,-9.21635105,,,,,,,,,,,,
2ff3da11-c508-46ea-b19f-51ff225d3036,38.71603278,-9.213187121,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH2,RMT1,,
2b506450-1366-47f3-9fac-e271901a7b2f,38.71053207,-9.191285981,Portugal,Lisbon,CR,LFM,CDN,4,MIX(RES;COM),BP1,RSH1,RMN,,
a7bd0858-a292-4a25-ae8a-e36c793ae49f,38.70284125,-9.217751,,,,,,,,,,,,
890e64f2-de99-4495-8444-91de82ddfdd1,38.69717404,-9.203074963,Portugal,Lisbon,MUR,LWAL,CDL,2,COM,BP1,RSH2,RMT1,,
a5791917-9467-478e-ae99-a7087202aa67,38.71668316,-9.214650972,Portugal,Lisbon,MUR,LWAL,CDL,1,RES,BP1,RSH2,RMT1,,
7463a1ab-9ef5-41a2-b4c9-1c3e9e39680c,38.70136194,-9.216240717,,,,,,,,,,,,
9e750936-7429-4fb6-81ae-765f1233e235,38.70948968,-9.174990827,Portugal,Lisbon,MUR,LWAL,CDL,2,COM,BP2,RSH2,RMT1,,
